Author,Class,Tweet,NumberOfTotalCharacters,NumberOfUppercaseCharacters,NumberOfLowercaseCharacters,NumberOfSpecialCharacters,NumberOfNumbers,NumberOfBlanks,NumberOfWords,AverageLengthOfWords,NumberOfPropositions,AverageLengthOfPropositions,NumberOfPunctuationCharacters,NumberOfLowercaseWords,NumberOfUppercaseWords,VocabularyRichness,Flesch Kincaid Grade Level,Flesch Reading Ease,Dale Chall Readability,Automated Readability Index,Coleman Liau Index,Gunning Fog,SMOG(Simple Measure of Gobbledygook),Linsear Write
18200,1,"The director's vision in #JungleBook is awe-inspiring. It seamlessly blends live-action and visual effects, creating a cinematic masterpiece that honors the original story while adding its own magic. #DirectorialBrilliance #FilmmakingGenius",240,8,194,9,0,29,30,9.05,3,10,6,26,0,1,15,13.95,13.85,19.2,21.16,19.33,0,13
18200,1,"The visual details in #JungleBook are stunning. From the intricate fur of the animals to the vibrant colors of the jungle, every visual element is a feast for the eyes. #ArtisticCraftsmanship #VisualDelight",206,8,161,6,0,31,32,7.81,3,10.67,3,27,0,0.94,10.7,46.78,10.84,12.3,13.05,13.9,0,11
18200,1,"The emotional depth in #JungleBook is remarkable. It explores themes of identity, belonging, and the power of family, touching the hearts of both children and adults. #HeartwarmingStory #EmotionalJourney",203,8,160,8,0,27,28,8.56,3,9.33,5,23,0,1,11.1,40.35,11.66,15.2,16.93,15.6,0,11
18200,1,"The humor in #JungleBook is delightful. From the witty banter between the animals to the charming antics of Mowgli, it brings joy and laughter to the audience. #ComicRelief #FunnyMoments",186,9,143,6,0,28,29,7.4,3,9.67,3,23,0,1,10.1,48.3,11.98,11.5,12.52,14.08,0,10.25
18200,1,"The character development in #JungleBook is exceptional. Each animal has a distinct personality and journey, and Mowgli's growth from a curious boy to a brave young man is truly inspiring. #CharacterEvolution #ComingOfAge",221,10,173,7,0,31,32,8.41,3,10.67,4,27,0,1,13.1,29.86,10.35,14.5,15.6,16.4,0,12.5
18200,1,The message of conservation in #JungleBook is important and timely. It reminds us of our responsibility to protect and preserve the natural world for future generations. #EnvironmentalAwareness #Nature'sGuardian,211,8,170,6,0,27,28,9.8,3,9.33,3,23,0,1,14.7,14.97,10.53,16.5,19.02,15.6,0,11
18200,1,The bond between Mowgli and his animal friends in #JungleBook is heartwarming. Their loyalty and support showcase the power of friendship and the beauty of interspecies connections. #AnimalCompanions #FriendshipGoals,216,9,174,5,0,28,29,8.88,3,9.67,2,23,0,1,12.5,31.38,10.89,16.3,18.73,15.46,0,11.25
18200,1,The costumes and makeup in #JungleBook are impressive. Each character's design is visually striking and adds to their unique charm and presence on screen. #CharacterStyle #VisualAppeal,184,8,145,6,0,25,26,8,3,8.67,3,22,0,1,9.5,49.82,12.18,13.9,15.94,14.43,0,8.5
18200,1,The choreography of the action sequences in #JungleBook is thrilling. The seamless coordination between live-action and CGI creates breathtaking moments of adventure and danger. #ActionPacked #JungleWarrior,206,11,164,6,0,25,26,9.12,3,8.67,3,20,1,1,13.1,24.44,12.18,17.9,20.87,14.43,0,10.5
31300,1,"""Immerse yourself in the vibrant culture of Riyadh. Explore the museums, attend traditional performances, and savor the flavors of Saudi Arabian cuisine. There's so much to discover! #RiyadhCulture""",198,8,154,9,0,27,28,7.62,4,7,8,22,0,1,10.5,36.66,12.56,12,14.53,10.86,11.2,5.67
31300,1,"""Indulge in luxury in the heart of Riyadh. From lavish hotels to upscale shopping malls, this city offers a world-class experience for those seeking the finest things in life. #LuxuryLiving""",190,5,149,7,0,29,30,6.78,3,10,6,26,0,1,8,64.71,11.22,11.4,11.88,10,0,8
31400,1,"""Discover the natural beauty surrounding Riyadh. From the stunning desert landscapes to the serene parks and gardens, this city is a paradise for nature enthusiasts. #RiyadhNature""",180,5,144,6,0,25,26,7.56,3,8.67,5,22,0,1,8.4,58.28,11.57,13.1,15.07,9.82,0,7.5
31400,1,"""Calling all foodies! Riyadh's culinary scene is a gastronomic delight. From traditional Saudi Arabian dishes to international flavors, prepare your taste buds for a mouthwatering experience. #FoodieParadise""",208,7,167,8,0,26,27,8.05,4,6.75,7,22,0,1,11.5,28.5,12.86,14.8,18.3,13.97,11.9,5.83
31400,1,"""Step back in time and explore Riyadh's rich history. Visit the ancient Masmak Fortress, stroll through the vibrant Al-Zal souq, and learn about the city's captivating past. #RiyadhHistory""",189,9,143,10,0,27,28,6.1,3,9.33,9,23,0,1,7.6,65.73,11.66,12.8,13.62,8.46,0,7.5
31400,1,"""Riyadh's art scene is a testament to creativity and expression. Explore the contemporary galleries, admire the public art installations, and immerse yourself in the city's artistic vibe. #RiyadhArt""",199,4,159,9,0,27,28,7.28,3,9.33,8,27,0,0.94,11.1,40.35,12.23,14.5,15.88,12.74,0,8.5
31400,1,"""Planning a family trip? Riyadh has plenty of family-friendly attractions and activities. From amusement parks to children's museums, there's something to keep everyone entertained. #FamilyFun""",193,5,154,10,0,24,25,8.21,4,6.25,9,23,0,1,11.2,29.21,11,14.6,17.54,11.32,12.5,5.83
31400,1,"""Shop till you drop in Riyadh! From traditional souqs to modern malls, this city offers a diverse shopping experience. Discover local crafts, designer brands, and everything in between. #RiyadhShopping""",202,6,159,9,0,28,29,6.83,4,7.25,8,24,0,1,8.3,53.17,11.2,11.7,14.24,8.02,10.5,5.5
31400,1,"""Riyadh is a playground for adventure enthusiasts. Try sandboarding on the dunes, go on a thrilling desert safari, or take a hike in the nearby mountains. Get ready for an adrenaline rush! #RiyadhAdventures""",207,5,162,8,0,32,33,8,4,8.25,7,29,0,1,6.4,68.77,8.97,9,10.88,9.25,10.5,6.17
31400,1,"""Unwind and recharge in Riyadh's serene retreats. From luxurious spas to tranquil gardens, this city provides a perfect escape from the hustle and bustle of everyday life. #RelaxationTime""",188,5,149,7,0,27,28,6.88,3,9.33,6,25,0,1,8.8,57.27,12.23,12.7,14.03,8.46,0,7.5
31400,1,"""When the sun goes down, Riyadh comes alive! Experience the vibrant nightlife scene with trendy bars, rooftop lounges, and live music venues. Get ready for unforgettable nights. #RiyadhNightlife""",195,6,153,9,0,27,28,6.83,4,7,8,23,0,1,3.4,87.42,11.99,11.5,13.89,6.58,7.8,4.33
31400,1,"""Riyadh showcases a fusion of traditional and modern architecture. Marvel at the soaring skyscrapers, intricate mosques, and the iconic Kingdom Centre Tower. #RiyadhArchitecture""",178,7,142,7,0,22,23,8.25,3,7.67,6,17,0,1,12.5,25.96,13.82,16.3,19.12,13.3,0,7.25
31400,1,"""Prioritize your well-being in Riyadh. From fitness centers and wellness retreats to organic markets and healthy dining options, this city encourages a balanced and healthy lifestyle. #RiyadhWellness""",200,5,162,7,0,26,27,7.89,3,9,6,23,0,0.94,9.7,49.31,12.49,15.7,18.03,11.33,0,8.25
31400,1,"""Riyadh is at the forefront of technological innovation in the Middle East. Discover the thriving tech scene, attend conferences, and witness cutting-edge advancements. #RiyadhTech""",181,6,144,8,0,23,24,8.19,3,8,7,19,0,1,10.3,42.38,11.47,15.6,18.08,11.47,0,7.5
31400,1,"""Sports lovers, rejoice! Riyadh offers a variety of sporting events and facilities. From football matches to equestrian competitions, this city celebrates the spirit of athleticism. #RiyadhSports""",196,5,158,8,0,25,26,7.89,4,6.5,7,22,0,1,9,45.72,12.57,13.9,17.01,12.71,11.2,5.33
31400,1,"""Riyadh's music scene is vibrant and diverse. Attend concerts by local and international artists, explore music festivals, and embrace the rhythm of the city. #RiyadhMusic""",172,4,136,8,0,24,25,6.94,3,8.33,7,23,0,0.94,8.2,58.79,12.47,12.7,14.31,8.2,0,6.25
31400,1,"""Lights, camera, action! Riyadh's film industry is flourishing, with local filmmakers creating compelling stories. Attend film festivals and support the growing cinematic culture. #RiyadhFilm""",192,5,154,10,0,23,24,7.3,4,6,9,21,0,0.95,11.1,29.52,14.56,15.7,18.81,13.2,11.2,5
31400,1,"""Riyadh is a thriving business hub in the Middle East. With a robust economy and investment opportunities, this city attracts entrepreneurs, startups, and multinational corporations. #RiyadhBusiness""",199,6,160,8,0,25,26,8.41,3,8.67,7,21,0,1,11.9,32.9,12.18,16.6,18.84,14.43,0,8.5
31400,1,"""Riyadh is committed to sustainability and environmental consciousness. Discover the city's eco-friendly initiatives, green spaces, and efforts to create a more sustainable future. #SustainableRiyadh""",200,4,164,9,0,23,24,9.25,3,8,8,22,0,1,13.9,17,13.44,19.3,22.43,16.47,0,9
11100,1,"1. The American Civil War was not just about slavery, but it was the key issue that divided the nation. #CivilWarFacts",118,7,86,4,1,20,21,6.11,3,7,3,15,0,1,10.3,58.62,9.94,11.1,8.7,12.21,0,13.5
11100,1,"2. Did you know? It was the bloodiest war in U.S. history with over 600,000 casualties. #CivilWar",97,6,61,7,7,16,17,6.57,4,4.25,6,11,1,1,4.3,74.15,11.35,3.8,4.1,6.99,8.8,2.83
11100,1,"3. Abraham Lincoln's Gettysburg Address, given during the Civil War, remains one of the most important speeches in American history. #HistoryFacts",146,9,110,6,1,20,21,7.33,3,7,5,13,0,1,15,24.78,10.69,17.3,15.84,12.21,0,15.5
11100,1,"4. Civil War medicine was primitive by today's standards, resulting in many deaths from infections that could be easily treated now. #MedicineHistory",149,4,118,5,1,21,22,7.5,3,7.33,4,19,0,1,13.1,40.69,12.62,17,15.14,17.89,0,16
11100,1,"5. The Emancipation Proclamation issued by Lincoln in 1862 didn't free all slaves, only those in Confederate-held territories. #CivilWarFacts",141,8,104,9,2,18,19,7.92,3,6.33,5,12,0,1,14.2,26.81,12.89,18.5,18.45,18.13,0,14.5
11100,1,6. The Battle of Antietam remains the deadliest one-day battle in American history. #AmericanHistory,100,6,76,4,1,13,14,7.4,3,4.67,3,8,0,1,14.7,14.97,9.97,14.8,16.52,11.31,0,11
11100,1,"7. Civil War soldiers often faced poor conditions, with malnutrition and disease being common. #WarHistory",106,4,83,4,1,14,15,6.8,3,5,3,11,0,1,12.7,30.87,13.85,14.9,16.17,14,0,10.5
11100,1,"8. The Civil War introduced many modern warfare techniques, including trench warfare and the use of submarines. #WarFacts",121,5,94,4,1,17,18,7.18,3,6,3,13,0,0.91,10.3,53.21,13.3,14.8,14.67,11.64,0,11
11100,1,"9. Clara Barton, a nurse during the Civil War, later founded the American Red Cross. #InspiringWomen",100,9,70,5,1,15,16,5.9,3,5.33,4,7,0,1,10.7,46.78,11.34,11.6,11.42,8.9,0,9
11100,1,"10. The Confederate flag, still a source of controversy today, was not actually the official flag of the Confederacy. #HistoryFacts",131,5,100,6,1,19,20,7.4,3,6.67,4,15,0,0.9,15.8,17.34,10.94,14.9,13.75,20,0,16
11100,1,11. Lincoln's assassination just days after the Civil War ended changed the course of American history. #AmericanHistory,120,6,92,5,1,16,17,7.18,3,5.67,3,12,0,1,14.6,20.38,11.91,15.9,16.53,11.51,0,12.5
11100,1,"12. The Civil War transformed the U.S. economy, leading to the dominance of the industrial North. #EconomicHistory",114,8,82,7,1,16,17,7.5,3,5.67,5,10,1,1,9,45.93,13.35,9.9,12.03,12.81,0,5.25
11200,1,13. The first Medal of Honor was awarded during the Civil War. #WarFacts,72,7,48,4,1,12,13,5.33,3,4.33,2,6,0,1,6,75.2,10.35,6.8,7.24,5.2,0,5.5
11200,1,14. The Underground Railroad helped many slaves escape to freedom during the Civil War. #HistoryFacts,101,7,75,4,1,14,15,7,3,5,2,8,0,1,10.3,47.79,10.7,13.4,14.61,11.33,0,8.5
11200,1,"15. The Civil War led to the 13th, 14th, and 15th Amendments, which abolished slavery, granted equal protection, and protected voting rights. #ConstitutionFacts",160,6,116,9,7,22,23,6.75,3,7.67,7,17,0,1,12.3,48.13,14.39,18.3,15.79,14.42,0,14.5
11200,1,"16. The Civil War era saw the birth of photojournalism, with photographers capturing the harsh realities of war. #MediaHistory",126,5,97,5,1,18,19,8.33,3,6.33,3,14,0,1,14.2,26.81,12.06,14.8,14.45,18.13,0,14.5
11200,1,17. The CSS Hunley was the first submarine to sink an enemy ship during the Civil War. #WarFacts,96,9,65,4,1,17,18,5.11,3,6,2,11,1,1,8,70.13,9.79,8.2,6.9,9.42,0,11
11200,1,18. Soldiers' letters home provide valuable insights into the human experience of the Civil War. #AmericanHistory,113,5,87,5,1,15,16,7.18,3,5.33,3,11,0,1,14.3,21.4,13.31,15.4,16.53,11.4,0,9
11200,1,"19. The Battle of Gettysburg was a turning point in the Civil War, halting the Confederacy's advance into the North. #CivilWarFacts",131,10,94,6,1,20,21,7.09,3,7,4,13,0,1,12.7,41.7,10.69,14,12.01,14.11,0,13.5
19400,1,"Russian intelligence agencies possess advanced capabilities in gathering and analyzing information, contributing to the country's national security. #RussianIntelligence #AdvancedCapabilities #NationalSecurity",209,7,177,6,0,19,20,10.81,2,10,3,17,0,1,26.1,-74.04,16.76,28.3,34.6,26,0,10.5
19400,1,"Russia's intelligence community plays a crucial role in monitoring foreign activities, analyzing geopolitical trends, and providing valuable insights to policymakers. #IntelligenceCommunity #ForeignMonitoring #GeopoliticalAnalysis #Insights",240,8,201,8,0,23,24,10,2,12,4,20,0,1,24.5,-59.15,16.07,27.1,32.35,23.13,0,11.5
19400,1,"Russian intelligence agencies employ sophisticated techniques and technologies to collect and analyze open-source and classified information, ensuring accurate and timely intelligence assessments. #SophisticatedTechniques #InformationCollection #IntelligenceAssessments #RussianIntelligence",290,9,249,7,0,25,26,11.67,2,13,3,21,0,0.95,24.9,-60.17,16.43,33.1,39.37,25.2,0,13.5
19400,1,"Russia's intelligence services are known for their expertise in human intelligence (HUMINT), utilizing agents and informants to gather valuable information on foreign activities. #HumanIntelligence #HUMINT #AgentNetwork #RussianIntelligence",240,19,186,9,0,26,27,9.42,2,13.5,5,22,2,0.89,16.8,-1.46,13.08,22.7,26.15,18.73,0,11.75
19400,1,Russian intelligence agencies closely monitor cyber threats and are adept at identifying and countering state-sponsored hacking attempts targeting national security interests. #CyberThreats #StateSponsoredHacking #NationalSecurityInterests #RussianIntelligence,260,11,219,6,0,24,25,10.48,2,12.5,2,20,0,1,22.3,-42.74,17.52,29.3,35.19,22.6,0,12.25
19400,1,"The Russian Foreign Intelligence Service (SVR) is responsible for collecting intelligence on foreign governments, organizations, and individuals, ensuring Russia's strategic advantage. #SVR #ForeignIntelligence #StrategicAdvantage #RussianIntel",244,18,191,11,0,24,25,9.75,2,12.5,7,15,2,0.95,21.1,-34.28,14.36,26.3,30.32,22.6,0,12.25
19400,1,"Russia's intelligence community utilizes advanced signal intelligence (SIGINT) capabilities to intercept and analyze communications, providing valuable insights into global events. #SignalIntelligence #SIGINT #CommunicationInterception #Insights",245,18,195,9,0,23,24,9.67,2,12,5,19,2,0.9,24.5,-59.15,15.42,28.1,33.34,19.8,0,11
19400,1,"Russian intelligence agencies employ sophisticated cyber operations to gather intelligence, engage in covert influence campaigns, and protect national interests in the cyber domain. #CyberOperations #CovertInfluence #NationalInterests #RussianIntelligence",255,9,213,7,0,26,27,9.55,2,13.5,3,22,0,0.91,21.5,-35.3,14.83,25.3,29.8,20.21,0,12.25
19400,1,"Russia's intelligence services maintain a robust network of assets and informants abroad, providing them with valuable information on foreign activities and potential threats. #AssetNetwork #Informants #ForeignActivities #RussianIntelligenceServices",249,9,207,7,0,26,27,9.8,2,13.5,3,23,0,1,19.2,-18.38,14.83,24.2,28.53,18.73,0,11.75
19400,1,"Russian intelligence agencies collaborate with international partners to share intelligence, combat terrorism, and address common security challenges, fostering global security cooperation. #IntelligenceCollaboration #Counterterrorism #GlobalSecurityCooperation #RussianIntel",275,9,234,8,0,24,25,10.64,2,12.5,4,20,0,0.91,28.2,-85.04,15.63,32.1,38.21,22.6,0,12.75
19400,1,"Russia's military intelligence agency, the GRU, conducts intelligence operations to gather military information, assess adversaries' capabilities, and support military planning. #GRU #MilitaryIntelligence #AdversaryAssessment #RussianIntel",239,13,192,11,0,23,24,9.33,2,12,7,19,2,0.81,22.1,-42.23,14.76,27,31.36,19.8,0,12
19400,1,"Russian intelligence agencies closely monitor and analyze geopolitical developments, providing policymakers with insights into global trends and potential risks to national security. #GeopoliticalDevelopments #Insights #NationalSecurity #RussianIntelligence",257,8,218,6,0,25,26,10,2,13,2,21,0,1,23.7,-51.71,16.43,27.1,32.23,25.2,0,13
19400,1,"The Federal Security Service (FSB) of Russia plays a critical role in counterintelligence, protecting the country from espionage, sabotage, and other threats to national security. #FSB #Counterintelligence #NationalSecurityThreats #RussianIntel",244,17,189,10,0,28,29,9.05,2,14.5,6,19,2,0.95,18.4,-10.93,12.52,20.9,23.31,19.59,0,13.25
19400,1,"Russia's intelligence community employs advanced analytical tools and techniques to process vast amounts of data, enabling them to extract valuable intelligence from diverse sources. #AnalyticalTools #DataProcessing #ValuableIntelligence #RussianIntelligenceCommunity",267,10,223,7,0,27,28,9.77,2,14,3,24,0,0.95,19.4,-18.88,15.61,25.9,30.38,15.6,0,11
19400,1,"Russian intelligence agencies are skilled in conducting psychological operations (PSYOPS), using propaganda and disinformation to influence public opinion and shape narratives. #PsychologicalOperations #Propaganda #Disinformation #RussianIntel",243,13,198,8,0,24,25,10.16,2,12.5,4,19,1,1,22.3,-42.74,14.36,26.1,30.78,21,0,12.25
19400,1,"The Main Intelligence Directorate (GRU) of the General Staff of the Russian Armed Forces is responsible for military intelligence, gathering information on foreign militaries and supporting military operations. #MainIntelligenceDirectorate #GRU #MilitaryIntelligence #RussianMilitary",283,22,222,8,0,31,32,9.86,2,16,4,18,2,0.91,20.2,-20.91,13.81,23.7,26.68,21.4,0,15.5
19400,1,"Russia's intelligence services closely monitor and analyze global economic trends, providing insights into market dynamics, economic warfare, and potential vulnerabilities. #EconomicTrends #MarketInsights #EconomicWarfare #RussianIntelligence",242,9,201,9,0,23,24,9.48,2,12,5,20,0,0.95,21,-33.77,16.73,27.6,32.58,23.13,0,12
19400,1,"Russian intelligence agencies employ advanced cyber capabilities to disrupt adversaries' networks, conduct espionage, and gather sensitive information on foreign governments and organizations. #AdvancedCyberCapabilities #NetworkDisruption #Espionage #RussianIntel",263,9,221,8,0,25,26,10,2,13,4,21,0,1,22.5,-43.25,16.43,28.2,33.16,22.12,0,12.5
19400,1,"Russia's intelligence community leverages open-source intelligence (OSINT) to gather information from publicly available sources, contributing to comprehensive intelligence assessments. #OpenSourceIntelligence #OSINT #ComprehensiveAssessments #RussianIntel",256,18,206,10,0,22,23,10.8,2,11.5,6,18,2,0.85,23.1,-50.19,15.19,32.2,38.03,20.25,0,11.25
21100,1,"German cuisine is a delightful fusion of flavors and traditions, with each region offering its unique culinary specialties. #GermanCuisine",138,3,114,3,0,18,19,8.17,2,9.5,2,17,0,1,14.2,26.81,14.55,17.8,18.45,18.13,0,14.5
21100,1,"Let's start with the iconic Bratwurst, a savory sausage made from pork, beef, or veal, seasoned with aromatic herbs and spices. #Bratwurst",138,3,107,7,0,21,22,6.07,2,11,6,20,0,0.93,7.2,82.99,10.47,14.6,11.72,10.62,0,12
21100,1,"Sauerkraut, a fermented cabbage dish, is a popular accompaniment to many German meals. Its tangy flavor adds a refreshing contrast to rich dishes. #Sauerkraut",158,4,126,5,0,23,24,7.12,3,8,4,20,0,0.94,9.2,50.84,12.13,11.1,13.27,11.47,0,7
21100,1,"Don't forget about Pretzels! These twisted, baked bread snacks are often enjoyed with mustard or paired with a hearty beer. #Pretzels",133,4,104,5,0,20,21,6,3,7,4,18,0,0.92,3.8,86.2,10.17,9.2,11.05,4.2,0,4.25
21100,1,One cannot talk about German cuisine without mentioning Schnitzel. This breaded and fried meat cutlet is typically made from pork or veal. #Schnitzel,149,5,119,3,0,22,23,6.29,3,7.67,2,19,0,0.93,6.6,68.26,9.7,10.3,12.8,8.08,0,5.75
21100,1,"Sauerbraten, a classic German pot roast, is marinated in a mixture of vinegar, water, and spices, resulting in tender and flavorful meat. #Sauerbraten",150,3,118,7,0,22,23,7.29,2,11.5,6,20,0,0.93,13.4,39.67,11.64,16.3,13.52,16.16,0,16.5
21100,1,Germany's love for potatoes is evident in dishes like Kartoffelpuffer (potato pancakes) and Kartoffelsalat (potato salad). #Potatoes,132,4,105,7,0,16,17,7.83,2,8.5,6,14,0,0.92,12.3,37.3,10.05,19.2,19.6,11.51,0,10.5
21100,1,"Sp?tzle, a type of soft egg noodle, is a staple in southern Germany. It pairs perfectly with hearty stews and creamy sauces. #Sp?tzle",133,4,100,7,0,22,23,5.12,3,7.67,6,21,0,0.88,4.2,85.18,11.76,7.1,7.75,6.34,0,5.25
21100,1,"The Bavarian specialty, Weisswurst, is a mild and delicate white sausage made from minced veal and pork back bacon. #Weisswurst",127,4,100,4,0,19,20,6.29,2,10,3,16,0,0.93,11.1,51.18,10.16,14,12.88,16,0,15
21100,1,"Lebkuchen, a type of gingerbread, is a beloved treat, especially during Christmas markets. Its aromatic spices and honey make it irresistible. #Lebkuchen",153,4,122,6,0,21,22,7.57,3,7.33,5,18,0,0.93,7.6,60.31,9.92,12.3,14.77,9.85,0,6.5
21100,1,"Germany's bountiful bread culture is showcased in various types of bread, such as Roggenbrot (rye bread) and Vollkornbrot (whole grain bread). #GermanBread",155,5,121,8,0,21,22,7,2,11,7,19,0,0.79,11.9,49.15,11.19,18.3,15.95,16.07,0,15
21100,1,"K?sesp?tzle, a comforting dish from Swabia, combines sp?tzle with melted cheese and caramelized onions for a satisfying and indulgent meal. #K?sesp?tzle",152,3,120,9,0,20,21,6,2,10.5,8,23,2,0.82,7.4,60.82,13.18,13.4,15.23,9.91,0,5.75
21100,1,"Black Forest Cake, or Schwarzw?lder Kirschtorte, is a layered chocolate cake with cherries and whipped cream?? true delight for dessert lovers. #BlackForestCake",160,8,124,7,0,21,22,7.06,3,7.33,6,17,0,1,2.6,89.45,9.74,12,14.86,4.74,6.4,3
21100,1,"Himmel und Erde, meaning ""Heaven and Earth,"" is a traditional dish featuring mashed potatoes, apples, and black pudding. An intriguing combination of flavors. #HimmelUndErde",173,8,133,9,0,23,24,7.35,3,8,8,18,0,1,10.3,42.38,12.78,14,15.94,13.13,0,7.5
21100,1,"Wurstsalat, a cold salad made with thinly sliced sausages, onions, vinegar, and oil, is a popular option for a light and refreshing meal. #Wurstsalat",149,2,117,7,0,23,24,6.31,2,12,6,22,0,0.94,10.3,64.04,10.75,15.3,11.78,12.93,0,14
21100,1,"Rouladen, thinly sliced beef filled with mustard, onions, and bacon, then rolled and braised until tender, is a hearty dish that warms the soul. #Rouladen",154,2,121,7,0,24,25,5.88,2,12.5,6,23,0,0.94,8.3,79.94,11.82,15.6,11.55,10,0,12.5
21100,1,"Germany's beer culture is legendary, with over 1,500 breweries producing a wide range of styles, from crisp lagers to flavorful wheat beers. #GermanBeer",152,3,117,6,4,22,23,6.56,2,11.5,5,21,0,1,9.9,65.05,14.39,16.7,14.28,14.42,0,14.5
21100,1,"Rotkohl, a sweet and sour red cabbage dish, is often served alongside hearty meats and adds vibrant color and tangy flavor to the plate. #Rotkohl",145,2,115,4,0,24,25,5.59,2,12.5,3,23,0,0.94,8.3,79.94,10.56,13.9,10.16,10,0,12.5
21100,1,"Marzipan, a confection made from ground almonds and sugar, is used in various German desserts, such as Stollen and Christmas treats. #Marzipan",142,5,111,5,0,21,22,7,2,11,4,17,0,0.92,10.7,57.61,10.47,15.5,13.29,12.44,0,13
34600,1,"""Jinnah's legacy is not only confined to the borders of Pakistan but reverberates across the world as a symbol of perseverance and determination. #Jinnah #GlobalLegacy""",168,5,133,6,0,24,25,8.42,2,12.5,4,22,0,0.92,16.6,20.72,11.82,18.2,15.03,16.4,0,16.5
34600,1,"""Quaid-e-Azam's leadership during the crucial phase of independence negotiations showcased his diplomacy and negotiation skills. #QuaidEAzam #Diplomacy""",152,6,122,8,0,16,17,9.33,2,8.5,6,15,0,1,17,3.46,16.55,24.8,26.1,18.56,0,14.5
34600,1,"""Jinnah's unwavering belief in the principles of justice and fairness formed the bedrock of his political philosophy. #QuaidEAzam #JusticeAndFairness""",150,7,119,6,0,18,19,8.92,2,9.5,4,17,0,1,15.4,18.35,14.55,20.8,21.17,18.13,0,14.5
34600,1,"""Jinnah's commitment to economic progress and social welfare laid the foundation for a nation that strives for the well-being of all its citizens. #Jinnah #EconomicProgress""",173,4,138,7,0,24,25,8,2,12.5,5,23,0,0.93,13,46.1,12.46,19.1,15.96,16.4,0,17.5
34700,1,"""Jinnah's message of unity and inclusivity resonates today, urging us to build bridges and foster harmony among diverse communities. #Jinnah #UnityAndInclusivity""",162,5,130,7,0,20,21,7.8,2,10.5,5,19,0,0.93,17.4,7.86,13.7,20.9,20.01,16.02,0,14.5
